Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41130,30215,Halsted,Loop,Org,709,2023-04-23T17:39:14,2023-04-23T17:40:14,1,0,0,0
41440,30278,Addison,Loop,Brn,415,2023-04-23T17:40:35,2023-04-23T17:41:35,1,0,0,0
41440,30278,Addison,Loop,Brn,415,2023-04-23T17:40:35,2023-04-23T17:41:35,1,0,0,0
41440,30278,Addison,Loop,Brn,415,2023-04-23T17:41:32,2023-04-23T17:42:32,1,0,0,0
41360,30266,California,Harlem/Lake,G,11,2023-04-23T17:41:51,2023-04-23T17:42:51,1,0,0,0
41440,30278,Addison,Loop,Brn,415,2023-04-23T17:41:32,2023-04-23T17:42:32,1,0,0,0
41360,30266,California,Harlem/Lake,G,11,2023-04-23T17:42:18,2023-04-23T17:43:18,1,0,0,0
41360,30265,California,Ashland/63rd,G,612,2023-04-23T17:42:54,2023-04-23T17:43:54,1,0,0,0
41360,30266,California,Harlem/Lake,G,11,2023-04-23T17:42:51,2023-04-23T17:43:51,1,0,0,0
41360,30265,California,Ashland/63rd,G,612,2023-04-23T17:42:54,2023-04-23T17:43:54,1,0,0,0
41360,30266,California,Harlem/Lake,G,11,2023-04-23T17:42:51,2023-04-23T17:43:51,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T17:44:58,2023-04-23T17:45:58,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T17:44:58,2023-04-23T17:45:58,1,0,0,0
40330,30064,Grand,Howard,Red,810,2023-04-23T17:46:44,2023-04-23T17:47:44,1,0,0,0
41030,30199,Polk,Loop,Pink,312,2023-04-23T17:48:54,2023-04-23T17:49:54,1,0,0,0
41030,30199,Polk,Loop,Pink,312,2023-04-23T17:49:39,2023-04-23T17:50:39,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T17:50:06,2023-04-23T17:51:06,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T17:50:26,2023-04-23T17:51:26,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T17:51:04,2023-04-23T17:52:04,1,0,0,0
41130,30215,Halsted,Loop,Org,715,2023-04-23T17:51:19,2023-04-23T17:52:19,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,506,2023-04-23T17:51:04,2023-04-23T17:52:04,1,0,0,0
